,Name,Passes Made,Ast,Secondary Ast,Potential Ast,Drives,FGA Drives,Passes Drives,Pass% Drives,Ast Drives,Ast% Drives,Catch/Shoot FGA,Catch/Shoot 3FGA,Pull-up FGA,Pull-up 3FGA,Touches,Front Ct Touches,Time of Poss,Avg Sec/Touch,Avg Drib/Touch,Elbow Touches,Post Ups,Paint Touches,Dist. Feet,Dist. Miles Off,Dist. Miles Def,Avg Speed,Team
191,Haywood Highsmith,9.2,0.4,0.0,0.8,1.0,0.4,0.6,60.0,0.0,0.0,0.8,0.8,0.4,0.2,11.8,7.4,0.2,1.23,0.59,0.0,0.0,0.6,3459.0,0.38,0.28,4.59,PHI
192,Henry Ellenson,19.7,0.8,0.0,1.5,2.1,1.1,0.6,28.2,0.1,5.1,1.9,1.7,0.6,0.3,26.2,12.0,0.9,2.05,1.19,0.3,0.8,0.7,6021.0,0.65,0.49,4.71,NYK
193,Ian Clark,18.9,1.6,0.2,2.9,2.7,1.4,0.8,30.6,0.3,11.9,2.6,2.4,2.2,1.0,27.3,17.0,1.3,2.81,2.37,0.5,0.1,0.5,6666.1,0.68,0.59,4.36,NOP
194,Ian Mahinmi,16.9,0.7,0.1,1.2,0.3,0.2,0.1,20.0,0.0,10.0,0.5,0.5,0.0,0.0,21.8,11.4,0.6,1.58,0.6,1.8,0.3,3.7,5862.6,0.58,0.53,4.18,WAS
195,Ike Anigbogu,2.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-,0.3,-,3.0,1.3,0.1,1.32,0.22,0.0,0.0,0.3,817.3,0.08,0.07,4.38,IND
196,Iman Shumpert,20.8,1.8,0.3,3.3,1.4,0.6,0.6,39.3,0.2,12.4,3.5,3.3,2.5,1.0,29.9,20.0,1.1,2.19,1.36,0.3,0.2,0.7,9692.3,0.96,0.87,4.32,HOU
197,Isaac Bonga,5.2,0.7,0.0,1.0,1.3,0.5,0.7,53.6,0.1,10.7,0.4,0.2,0.4,0.1,7.6,4.1,0.5,3.59,2.89,0.0,0.1,0.5,2314.1,0.23,0.21,4.42,LAL
198,Isaac Humphries,14.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.2,0.0,0.0,18.8,9.6,0.4,1.12,0.12,0.2,0.0,1.8,5006.6,0.51,0.43,4.65,ATL
199,Isaiah Briscoe,23.0,2.2,0.2,5.1,4.2,1.4,2.2,52.8,0.5,11.0,0.8,0.8,1.2,0.1,29.2,7.7,2.8,5.74,5.46,0.1,0.0,0.2,5829.4,0.6,0.51,4.32,ORL
200,Isaiah Canaan,37.4,2.8,0.3,4.6,3.3,1.5,1.5,44.4,0.3,9.1,2.0,2.0,1.7,1.2,45.5,16.5,3.3,4.29,4.18,0.1,0.1,0.1,8446.0,0.9,0.7,4.31,MIL
201,Isaiah Hartenstein,8.6,0.5,0.0,0.9,0.1,0.0,0.1,50.0,0.0,0.0,0.2,0.2,0.0,0.0,10.9,5.6,0.3,1.51,0.31,1.2,0.1,2.1,3389.8,0.34,0.3,4.47,HOU
202,Isaiah Hicks,12.0,0.7,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,-,1.0,-,15.7,7.3,0.5,2.06,0.97,0.7,2.0,1.3,4348.0,0.45,0.38,4.37,NYK
203,Isaiah Thomas,18.9,1.9,0.1,3.0,7.3,3.4,2.9,40.2,0.8,11.5,2.5,2.2,2.3,1.4,30.9,13.8,2.4,4.63,4.14,0.5,0.0,0.4,5766.8,0.6,0.49,4.02,DEN
204,Ish Smith,40.9,3.6,0.4,7.5,11.1,3.9,6.2,55.6,1.4,12.9,1.3,1.2,3.6,1.1,53.8,18.6,4.5,5.04,5.02,0.2,0.0,0.5,9436.1,1.05,0.74,4.52,DET
205,Ivan Rabb,19.7,1.1,0.1,1.9,0.4,0.2,0.1,23.8,0.1,14.3,0.9,0.3,0.4,0.0,26.1,15.7,0.8,1.75,0.65,2.5,1.7,3.8,5943.1,0.61,0.52,4.3,MEM
206,Ivica Zubac,25.7,1.1,0.1,1.4,0.1,0.0,0.0,20.0,0.0,0.0,0.3,-,0.1,-,34.6,19.4,0.8,1.46,0.51,2.8,1.7,6.7,6991.7,0.72,0.61,4.24,LAC
